Experiment,Correction,VIP
Greenhouse,MSC,Date
Greenhouse,MSC,365
Greenhouse,MSC,366
Greenhouse,MSC,367
Greenhouse,MSC,368
Greenhouse,MSC,369
Greenhouse,MSC,370
Greenhouse,MSC,371
Greenhouse,MSC,372
Greenhouse,MSC,2495
Greenhouse,MSC,2494
Greenhouse,MSC,373
Greenhouse,MSC,2496
Greenhouse,MSC,2493
Greenhouse,MSC,995
Greenhouse,MSC,2492
Greenhouse,MSC,2491
Greenhouse,MSC,2497
Greenhouse,MSC,2490
Greenhouse,MSC,994
Greenhouse,MSC,374
Greenhouse,MSC,996
Greenhouse,MSC,2489
Greenhouse,MSC,993
Greenhouse,MSC,2498
Greenhouse,MSC,997
Greenhouse,MSC,1265
Greenhouse,MSC,992
Greenhouse,MSC,2499
Greenhouse,MSC,2488
Greenhouse,MSC,375
Greenhouse,MSC,1264
Greenhouse,MSC,1266
Greenhouse,MSC,2500
Greenhouse,MSC,413
Greenhouse,MSC,412
Greenhouse,MSC,411
Greenhouse,MSC,410
Greenhouse,MSC,1891
Greenhouse,MSC,414
Greenhouse,MSC,998
Greenhouse,MSC,741
Greenhouse,MSC,1890
Greenhouse,MSC,742
Greenhouse,MSC,740
Greenhouse,MSC,376
Greenhouse,MSC,2487
Greenhouse,MSC,409
Greenhouse,MSC,415
Greenhouse,MSC,1892
Greenhouse,MSC,1889
Greenhouse,MSC,990
Greenhouse,MSC,505
Greenhouse,MSC,506
Greenhouse,MSC,504
Greenhouse,MSC,507
Greenhouse,MSC,743
Greenhouse,MSC,503
Greenhouse,MSC,739
Greenhouse,MSC,508
Greenhouse,MSC,991
Greenhouse,MSC,416
Greenhouse,MSC,502
Greenhouse,MSC,408
Greenhouse,MSC,1888
Greenhouse,MSC,377
Greenhouse,MSC,1267
Greenhouse,MSC,509
Greenhouse,MSC,1263
Greenhouse,MSC,999
Greenhouse,MSC,378
Greenhouse,MSC,510
Greenhouse,MSC,501
Greenhouse,MSC,2486
Greenhouse,MSC,744
Greenhouse,MSC,379
Greenhouse,MSC,511
Greenhouse,MSC,1880
Greenhouse,MSC,975
Greenhouse,MSC,417
Greenhouse,MSC,738
Greenhouse,MSC,976
Greenhouse,MSC,407
Greenhouse,MSC,1885
Greenhouse,MSC,1887
Greenhouse,MSC,2456
Greenhouse,MSC,979
Greenhouse,MSC,678
Greenhouse,MSC,2455
Greenhouse,MSC,500
Greenhouse,MSC,1884
Greenhouse,MSC,677
Greenhouse,MSC,512
Greenhouse,MSC,745
Greenhouse,MSC,2457
Greenhouse,MSC,1881
Greenhouse,MSC,679
Greenhouse,MSC,380
Greenhouse,MSC,676
Greenhouse,MSC,1893
Greenhouse,SVI,PRI*CI2
Greenhouse,SVI,CAI
Greenhouse,SVI,PRI
Greenhouse,SVI,Date
Greenhouse,SVI,NDNI
Greenhouse,SVI,SWIR LI
Greenhouse,SVI,LWVI1
Greenhouse,SVI,EGFR
Greenhouse,SVI,Datt8
Greenhouse,SVI,SWIR SI
Greenhouse,SVI,NDLI
Greenhouse,SVI,PWI
Greenhouse,SVI,TGI
Greenhouse,SVI,ARI
Greenhouse,SVI,EGFN
Greenhouse,SVI,Carter
Greenhouse,SVI,SWIR FI
Greenhouse,SVI,DWSI2
Greenhouse,SVI,CI
Greenhouse,SVI,Datt7
Greenhouse,SVI,SR7
Greenhouse,SVI,SWIR VI
Greenhouse,SVI,mSR
Greenhouse,SVI,SR8
Greenhouse,SVI,Carter6
Greenhouse,SVI,LWVI2
Greenhouse,SVI,Datt6
Greenhouse,SVI,Green NDVI
Greenhouse,SVI,SIPI
Greenhouse,SVI,MPRI
Greenhouse,SVI,mSR705
Greenhouse,SVI,Datt3
Greenhouse,SVI,PARS
Greenhouse,SVI,CARI
Greenhouse,SVI,TCARI
Greenhouse,SVI,SPVI
Greenhouse,SVI,Datt4
Greenhouse,SVI,SRPI
Greenhouse,SVI,DWSI5
Greenhouse,SVI,PSSRc
Greenhouse,SVI,NDWI
Greenhouse,SVI,MSI
Greenhouse,SVI,GMI1
Greenhouse,SVI,SR3
Greenhouse,SVI,DWSI1
Greenhouse,SVI,PSND
Greenhouse,SVI,PSSR
Greenhouse,SVI,MCARI
Greenhouse,SVI,CRI2
Greenhouse,SVI,Vogelmann4
Greenhouse,SVI,SRWI
Greenhouse,SVI,Vogelmann2
Greenhouse,SVI,DDn
Greenhouse,SVI,Boochs2
Greenhouse,SVI,GDVI_4
Greenhouse,SVI,MCARI2
Greenhouse,SVI,Boochs
Greenhouse,SVI,DD
Greenhouse,SVI,MTCI
Greenhouse,SVI,Vogelmann
Greenhouse,SVI,TCARI2
Greenhouse,SVI,Datt5
Greenhouse,SVI,Datt2
Greenhouse,SVI,CRI1
Greenhouse,SVI,Carter5
Greenhouse,SVI,EVI
Greenhouse,SVI,SR2
Greenhouse,SVI,Sum_Dr1
Greenhouse,SVI,mND705
Greenhouse,SVI,Carter4
Greenhouse,SVI,Carter3
Greenhouse,SVI,NPCI
Greenhouse,SVI,Gitelson2
Greenhouse,SVI,PRI_norm
Greenhouse,SVI,Gitelson
Greenhouse,SVI,CI2
Greenhouse,SVI,CRI4
Greenhouse,SVI,D1
Greenhouse,SVI,SR6
Greenhouse,SVI,Vogelmann3
Greenhouse,SVI,mSR2
Greenhouse,SVI,DWSI3
Greenhouse,SVI,CRI3
Greenhouse,SVI,GDVI_3
Greenhouse,SVI,Carter2
Greenhouse,SVI,NDVI3
Greenhouse,SVI,NDVI2
Greenhouse,SVI,SR4
Greenhouse,SVI,REP_Li
Greenhouse,SVI,OSAVI2
Greenhouse,SVI,ClAInt
Greenhouse,SVI,MCARI/OSAVI
Greenhouse,SVI,TCARI/OSAVI
Greenhouse,SVI,Datt
Greenhouse,SVI,SR5
Greenhouse,SVI,Maccioni
Greenhouse,SVI,DWSI4
Greenhouse,SVI,GI
Greenhouse,SVI,SR1
Greenhouse,SVI,GMI2
FieldExcursion,SNV,Date
FieldExcursion,SNV,365
FieldExcursion,SNV,366
FieldExcursion,SNV,515
FieldExcursion,SNV,516
FieldExcursion,SNV,514
FieldExcursion,SNV,517
FieldExcursion,SNV,513
FieldExcursion,SNV,518
FieldExcursion,SNV,367
FieldExcursion,SNV,519
FieldExcursion,SNV,512
FieldExcursion,SNV,520
FieldExcursion,SNV,521
FieldExcursion,SNV,1891
FieldExcursion,SNV,1892
FieldExcursion,SNV,1894
FieldExcursion,SNV,522
FieldExcursion,SNV,511
FieldExcursion,SNV,1893
FieldExcursion,SNV,1890
FieldExcursion,SNV,523
FieldExcursion,SNV,1889
FieldExcursion,SNV,1895
FieldExcursion,SNV,524
FieldExcursion,SNV,1888
FieldExcursion,SNV,525
FieldExcursion,SNV,510
FieldExcursion,SNV,526
FieldExcursion,SNV,1887
FieldExcursion,SNV,368
FieldExcursion,SNV,527
FieldExcursion,SNV,1896
FieldExcursion,SNV,528
FieldExcursion,SNV,2014
FieldExcursion,SNV,529
FieldExcursion,SNV,2015
FieldExcursion,SNV,2013
FieldExcursion,SNV,2016
FieldExcursion,SNV,2021
FieldExcursion,SNV,2484
FieldExcursion,SNV,530
FieldExcursion,SNV,2022
FieldExcursion,SNV,369
FieldExcursion,SNV,2017
FieldExcursion,SNV,2020
FieldExcursion,SNV,531
FieldExcursion,SNV,509
FieldExcursion,SNV,2012
FieldExcursion,SNV,2023
FieldExcursion,SNV,2018
FieldExcursion,SNV,1886
FieldExcursion,SNV,2019
FieldExcursion,SNV,532
FieldExcursion,SNV,2483
FieldExcursion,SNV,2024
FieldExcursion,SNV,2029
FieldExcursion,SNV,533
FieldExcursion,SNV,2011
FieldExcursion,SNV,2008
FieldExcursion,SNV,2009
FieldExcursion,SNV,2025
FieldExcursion,SNV,2010
FieldExcursion,SNV,2030
FieldExcursion,SNV,1897
FieldExcursion,SNV,534
FieldExcursion,SNV,2485
FieldExcursion,SNV,2026
FieldExcursion,SNV,2028
FieldExcursion,SNV,2007
FieldExcursion,SNV,2027
FieldExcursion,SNV,535
FieldExcursion,SNV,2003
FieldExcursion,SNV,2006
FieldExcursion,SNV,2002
FieldExcursion,SNV,2004
FieldExcursion,SNV,536
FieldExcursion,SNV,2005
FieldExcursion,SNV,2031
FieldExcursion,SNV,537
FieldExcursion,SNV,2482
FieldExcursion,SNV,538
FieldExcursion,SNV,2032
FieldExcursion,SNV,2001
FieldExcursion,SNV,539
FieldExcursion,SNV,370
FieldExcursion,SNV,2481
FieldExcursion,SNV,540
FieldExcursion,SNV,1898
FieldExcursion,SNV,2033
FieldExcursion,SNV,541
FieldExcursion,SNV,730
FieldExcursion,SNV,731
FieldExcursion,SNV,728
FieldExcursion,SNV,729
FieldExcursion,SNV,508
FieldExcursion,SNV,727
FieldExcursion,SNV,542
FieldExcursion,SNV,726
FieldExcursion,SNV,543
FieldExcursion,SVI,DPI
FieldExcursion,SVI,CAI
FieldExcursion,SVI,NDNI
FieldExcursion,SVI,NDLI
FieldExcursion,SVI,PWI
FieldExcursion,SVI,Date
FieldExcursion,SVI,EGFR
FieldExcursion,SVI,D2
FieldExcursion,SVI,LWVI1
FieldExcursion,SVI,PRI*CI2
FieldExcursion,SVI,SWIR LI
FieldExcursion,SVI,Datt7
FieldExcursion,SVI,SWIR FI
FieldExcursion,SVI,ARI
FieldExcursion,SVI,PRI
FieldExcursion,SVI,mREIP
FieldExcursion,SVI,Datt5
FieldExcursion,SVI,Carter
FieldExcursion,SVI,CI
FieldExcursion,SVI,TCARI2/OSAVI2
FieldExcursion,SVI,MCARI2/OSAVI2
FieldExcursion,SVI,Datt3
FieldExcursion,SVI,SR8
FieldExcursion,SVI,LWVI2
FieldExcursion,SVI,MSI
FieldExcursion,SVI,EGFN
